,_c0,DATE,Themes,Organizations,V2Tone
954,954,20150302000000.0,TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_DRILLS;TAX_ETHNICITY;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOREAN;ARMEDCONFLICT;TAX_FNCACT;TAX_FNCACT_OFFICIAL;TAX_FNCACT_SPOKESMAN;MILITARY;TAX_FNCACT_TROOPS;TAX_WORLDMAMMALS_DRILL;WMD;TAX_TERROR_GROUP;TAX_TERROR_GROUP_REVOLUTIONARY_ARMED_FORCES;SOVEREIGNTY;,korean people army,"-7.52688172043011,0.806451612903226,8.33333333333333,9.13978494623656,22.5806451612903,1.61290322580645,357"
955,955,20150302000000.0,SCIENCE;GENERAL_GOVERNMENT;KILL;TAX_FNCACT;TAX_FNCACT_SCIENTIST;TAX_FNCACT_VOLUNTEERS;EDUCATION;SOC_INNOVATION;TAX_FNCACT_PROFESSOR;TAX_FNCACT_VOLUNTEER;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_MANAGER;TAX_FNCACT_MINISTER;TAX_FNCACT_COOK;ELECTION;,office of science;gingin gravity discovery centre;gravity discovery centre,"-2.49307479224377,2.77008310249307,5.26315789473684,8.03324099722992,22.7146814404432,0.554016620498615,320"
956,956,20150302000000.0,GENERAL_GOVERNMENT;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_AMONG;TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;ALLIANCE;SOC_INNOVATION;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES_CHINESE;TAX_ETHNICITY_TAIWANESE;TAX_FNCACT_LEADER;TAX_WORLDFISH;TAX_WORLDFISH_TOP;MEDIA_MSM;TAX_FNCACT_CTO;TAX_FNCACT_CORRESPONDENT;,international correspondent;digital living network alliance;qualcomm;world congress;crossmount alliance,"1.3437849944009,2.23964165733483,0.895856662933931,3.13549832026876,21.9484882418813,0.671892497200448,801"
957,957,20150302000000.0,TAX_FNCACT;TAX_FNCACT_DRIVERS;TAX_FNCACT_DRIVER;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_GALLEGOS;TAX_FNCACT_DIRECTOR;,,"-4.0650406504065,0,4.0650406504065,4.0650406504065,18.6991869918699,1.6260162601626,113"
958,958,20150302000000.0,TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_FOX;TAX_FNCACT;TAX_FNCACT_KILLERS;TAX_FNCACT_AGENTS;GEN_HOLIDAY;TAX_FNCACT_AGENT;TAX_FNCACT_FATHER;MEDIA_MSM;TAX_FNCACT_SPECIAL_AGENT;SOC_GENERALCRIME;CYBER_ATTACK;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_BEEK;KIDNAP;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;ARREST;KILL;TAX_FNCACT_SLAVE;SOC_SLAVERY;TAX_FNCACT_KING;TAX_WORLDLANGUAGES_AMONG;TAX_FNCACT_BRIDESMAIDS;AFFECT;TAX_FNCACT_NANNY;TAX_FNCACT_SOCIALITE;TAX_FNCACT_MAN;LEGISLATION;TAX_ETHNICITY_IRISH;TAX_WORLDLANGUAGES_IRISH;MEDIA_SOCIAL;,new york times;twitter;netflix,"-0.240673886883273,2.76774969915764,3.00842358604091,5.77617328519856,19.6149217809868,1.44404332129964,672"
959,959,20150302000000.0,BAN;MEDIA_MSM;TAX_FNCACT;TAX_FNCACT_AUTHORITIES;TAX_FNCACT_DIRECTOR;AGRICULTURE;AFFECT;TAX_FNCACT_OFFICIALS;,,"-5.55555555555556,1.38888888888889,6.94444444444444,8.33333333333333,24.3055555555556,0,138"
960,960,20150302000000.0,,,"3.15457413249211,5.36277602523659,2.20820189274448,7.57097791798107,22.0820189274448,2.20820189274448,285"
961,961,20150302000000.0,MANMADE_DISASTER_IMPLIED;TAX_FNCACT;TAX_FNCACT_EMPLOYEE;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;TAX_WORLDLANGUAGES_AMONG;TAX_FNCACT_WORKERS;RECRUITMENT;MEDIA_MSM;TAX_FNCACT_CHILDREN;ENV_MINING;TAX_FNCACT_AUTHOR;TAX_FNCACT_PRESENTER;TAX_ETHNICITY_INDIAN;TAX_ETHNICITY_INDIANS;RELIGION;IDEOLOGY;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_LIONS;KILL;ORGANIZED_CRIME;TAX_FNCACT_VILLAGERS;POVERTY;TAX_FNCACT_DECORATOR;TAX_FNCACT_MAID;TAX_FNCACT_PAINTER;TAX_FNCACT_DIRECTOR;TAX_FNCACT_CHEVALIER;TAX_FNCACT_CAMERAMAN;TAX_WORLDLANGUAGES_SERRA;SECURITY_SERVICES;TAX_FNCACT_POLICE;TAX_FNCACT_OFFICERS;TAX_FNCACT_DETECTIVES;TAX_FNCACT_CRIMINAL;TAX_ETHNICITY_AUSTRALIAN;ARMEDCONFLICT;,,"0.1001001001001,4.5045045045045,4.4044044044044,8.90890890890891,18.2182182182182,0.700700700700701,885"
962,962,20150302000000.0,ECON_DEVELOPMENTORGS;ECON_DEVELOPMENTORGS_WORLD_BANK;GENERAL_GOVERNMENT;ENV_OIL;ECON_OILPRICE;ECON_DEBT;ECON_TAXATION;TAX_FNCACT;TAX_FNCACT_MINISTER;ECON_INFLATION;MEDIA_MSM;TAX_FNCACT_ECONOMISTS;,angola news agency;goldman sachs;world bank,"-0.766283524904215,1.91570881226054,2.68199233716475,4.59770114942529,18.007662835249,0,232"
963,963,20150302000000.0,GENDER_VIOLENCE;TAX_FNCACT;TAX_FNCACT_CRIMINAL;TAX_FNCACT_SPECIALIST;TAX_FNCACT_MINISTER;TAX_FNCACT_CHILD;DISABILITY;GENERAL_GOVERNMENT;LEADER;TAX_FNCACT_PRESIDENT;TAX_FNCACT_VICTIMS;TAX_FNCACT_WOMEN;LEGISLATION;TAX_FNCACT_MAGISTRATES;TRIAL;TAX_FNCACT_LAWYERS;,disability services tracy davis;bar association;queensland bar association,"-2.12765957446809,5.0531914893617,7.18085106382979,12.2340425531915,25.2659574468085,2.12765957446809,346"
